iter	Accuracy	Logloss
0	0.63625	0.6887111835
1	0.65825	0.6844066461
2	0.68325	0.6784762738
3	0.6775	0.6749893502
4	0.6815	0.6717805472
5	0.687	0.6673353984
6	0.68175	0.664614825
7	0.68675	0.6608769722
8	0.6855	0.6569117783
9	0.68875	0.6534703111
10	0.69375	0.6502545227
11	0.6965	0.646006656
12	0.69575	0.6433529165
13	0.696	0.640601902
14	0.70275	0.6369406008
15	0.7045	0.6343029966
16	0.70325	0.6323675361
17	0.70525	0.6294312375
18	0.70475	0.6270646883
19	0.7085	0.6242782952
20	0.70875	0.6215400742
21	0.7115	0.6182003928
22	0.71075	0.6164880625
23	0.71375	0.6144971094
24	0.71775	0.61264378
25	0.71775	0.6106106974
26	0.71825	0.6096496614
27	0.71675	0.6085354133
28	0.71675	0.6068638175
29	0.717	0.6054112541
30	0.7165	0.6039172278
31	0.7185	0.602006103
32	0.717	0.6015347889
33	0.7205	0.5997111099
34	0.721	0.5979429069
35	0.72175	0.5963538413
36	0.72225	0.5956016845
37	0.7235	0.593950158
38	0.72525	0.5922091084
39	0.72425	0.591570812
40	0.72425	0.5908986039
41	0.727	0.5889715313
42	0.72875	0.5871499593
43	0.72825	0.5864055641
44	0.728	0.5855186342
45	0.72925	0.5848089092
46	0.7285	0.5841803058
47	0.72925	0.5831426998
48	0.731	0.5817640144
49	0.73375	0.5807638513
50	0.7335	0.57885803
51	0.735	0.577801669
52	0.73475	0.576821487
53	0.7375	0.5743734779
54	0.73875	0.5734895173
55	0.73825	0.5722286433
56	0.738	0.5711849267
57	0.73975	0.5698162474
58	0.73925	0.5695245515
59	0.739	0.5685901546
60	0.74325	0.566661214
61	0.7435	0.5654915278
62	0.7445	0.5645645034
63	0.74725	0.5622172798
64	0.75075	0.5592629893
65	0.75375	0.5575044249
66	0.75425	0.5559907736
67	0.75225	0.5547930858
68	0.75425	0.5536005464
69	0.75375	0.5529047538
70	0.75275	0.5520308728
71	0.7545	0.5509850176
72	0.761	0.5478759579
73	0.7625	0.5469703501
74	0.7615	0.5462772957
75	0.76175	0.5442805475
76	0.7615	0.5436751652
77	0.763	0.5425467915
78	0.76725	0.5395774237
79	0.767	0.539029248
80	0.76675	0.5386382382
81	0.76725	0.5376559916
82	0.77075	0.5364928059
83	0.771	0.5347442835
84	0.7725	0.5337746881
85	0.77375	0.5323054616
86	0.77375	0.5317893379
87	0.77425	0.5309130746
88	0.7745	0.5301685281
89	0.7745	0.529947362
90	0.775	0.5292532891
91	0.77575	0.5277709062
92	0.7765	0.5269053096
93	0.777	0.526306484
94	0.77825	0.5244124259
95	0.78	0.5237101468
96	0.78	0.5233730416
97	0.78325	0.5210451224
98	0.78375	0.5201830042
99	0.7845	0.5197463541
100	0.78375	0.5192069268
101	0.78525	0.5188331615
102	0.787	0.517403173
103	0.787	0.5169504379
104	0.78625	0.5163191188
105	0.78675	0.5155895717
106	0.788	0.5149474414
107	0.78725	0.5143413654
108	0.78725	0.5138839654
109	0.787	0.5134676672
110	0.78775	0.5124500412
111	0.78875	0.5118190357
112	0.78825	0.5105977601
113	0.7885	0.5104149252
114	0.788	0.5099669161
115	0.78925	0.5091147926
116	0.79	0.5082220569
117	0.792	0.5067219887
118	0.79175	0.5066138396
119	0.792	0.5060673348
120	0.7915	0.5057219067
121	0.79225	0.5053467373
122	0.79125	0.5048844055
123	0.79125	0.5048024099
124	0.792	0.5040885601
125	0.79175	0.5040320154
126	0.79325	0.5028824464
127	0.794	0.5023913099
128	0.795	0.5012922663
129	0.795	0.5011674296
130	0.797	0.4994251507
131	0.7965	0.4985678095
132	0.79825	0.4977548834
133	0.7995	0.4967548851
134	0.8	0.4957339413
135	0.8015	0.4949765103
136	0.8015	0.4949333641
137	0.802	0.4939204992
138	0.80225	0.4934786101
139	0.802	0.493433964
140	0.80275	0.4931338703
141	0.804	0.4922429885
142	0.8035	0.4918722741
143	0.80375	0.4915176347
144	0.804	0.4911784148
145	0.8045	0.4910174511
146	0.80525	0.4900385851
147	0.80575	0.4900020808
148	0.80625	0.4888922827
149	0.80625	0.4888876552
150	0.80775	0.4882577095
151	0.8085	0.4877688679
152	0.808	0.4870214024
153	0.808	0.4868711738
154	0.8075	0.4868125387
155	0.808	0.4866241668
156	0.808	0.4866060405
157	0.81025	0.4856635668
158	0.81025	0.48541432
159	0.8115	0.4840808736
160	0.81125	0.4835706268
161	0.8115	0.4832130918
162	0.8135	0.4821663033
163	0.81475	0.4812537358
164	0.81475	0.4810002033
165	0.815	0.4801160434
166	0.81625	0.478412903
167	0.817	0.4777723079
168	0.818	0.4771091858
169	0.81875	0.4764786937
170	0.818	0.4761752069
171	0.819	0.4754726088
172	0.819	0.4754487832
173	0.8195	0.4750957248
174	0.82	0.4746242336
175	0.81975	0.4744838211
176	0.82	0.4737925742
177	0.82275	0.4724544706
178	0.82275	0.4714361279
179	0.82325	0.4712130605
180	0.825	0.470144323
181	0.8245	0.4696376136
182	0.825	0.4695885127
183	0.8265	0.4688635366
184	0.8275	0.46789396
185	0.827	0.4673141287
186	0.8275	0.4667394826
187	0.8265	0.466191089
188	0.8295	0.4651154335
189	0.83025	0.4639243802
190	0.83	0.4632768119
191	0.83	0.4619353609
192	0.83075	0.4615253851
193	0.8305	0.4609305027
194	0.8305	0.4608721025
195	0.83125	0.4604098362
196	0.832	0.460074278
197	0.83225	0.4598886356
198	0.833	0.4588210687
199	0.8335	0.4585565703
200	0.8335	0.458546542
201	0.83275	0.4574515319
202	0.83325	0.4572761913
203	0.8335	0.4569144876
204	0.83425	0.4559774024
205	0.8385	0.4544617292
206	0.83875	0.4535790435
207	0.83875	0.4535469501
208	0.8395	0.4530293053
209	0.84	0.452768135
210	0.84	0.4522298363
211	0.84025	0.4517247014
212	0.84325	0.4507775245
213	0.842	0.4503470378
214	0.84225	0.4500988568
215	0.84325	0.4488419627
216	0.84325	0.4488326488
217	0.84575	0.447448785
218	0.84575	0.4471382166
219	0.848	0.4462066036
220	0.848	0.4453176934
221	0.84825	0.4446078309
222	0.8485	0.4443272913
223	0.84925	0.4433534091
224	0.85025	0.4423345636
225	0.85025	0.4422075183
226	0.8505	0.4420410404
227	0.85075	0.4416162117
228	0.85075	0.4415983027
229	0.85075	0.4401579407
230	0.85025	0.4392979972
231	0.85275	0.4382545673
232	0.8525	0.4379840537
233	0.853	0.4372873338
234	0.8545	0.4359559195
235	0.85475	0.4353613298
236	0.85625	0.4349636326
237	0.85625	0.434312009
238	0.85775	0.4327515695
239	0.85875	0.4323623866
240	0.8595	0.4316830924
241	0.8595	0.4316665105
242	0.859	0.4311729328
243	0.859	0.4307833094
244	0.8605	0.4300602884
245	0.86025	0.4294699157
246	0.85975	0.4290055701
247	0.86	0.4281824813
248	0.85925	0.4275323179
249	0.86	0.4264857208
250	0.86425	0.4248380859
251	0.86475	0.4246124829
