iter	Passed	Remaining
0	15	20948
1	33	23187
2	48	22311
3	56	19619
4	65	17926
5	81	18658
6	88	17474
7	105	18148
8	124	19030
9	140	19231
10	160	19984
11	181	20755
12	200	21108
13	217	21226
14	236	21580
15	253	21631
16	266	21395
17	281	21359
18	299	21494
19	316	21546
20	332	21540
21	348	21537
22	365	21606
23	379	21484
24	395	21482
25	412	21518
26	419	21068
27	437	21183
28	455	21255
29	473	21363
30	495	21599
31	512	21627
32	520	21312
33	538	21354
34	555	21387
35	574	21478
36	592	21565
37	614	21765
38	634	21862
39	641	21527
40	659	21575
41	676	21586
42	693	21610
43	713	21704
44	730	21729
45	752	21861
46	772	21956
47	791	22018
48	810	22069
49	829	22108
50	852	22259
51	875	22400
52	892	22393
53	910	22413
54	931	22489
55	954	22620
56	975	22704
57	1001	22872
58	1010	22683
59	1029	22699
60	1046	22688
61	1066	22718
62	1084	22726
63	1105	22778
64	1126	22840
65	1144	22831
66	1161	22820
67	1178	22782
68	1198	22823
69	1217	22831
70	1235	22836
71	1259	22929
72	1277	22921
73	1293	22889
74	1315	22943
75	1334	22952
76	1359	23052
77	1376	23028
78	1394	23017
79	1413	23016
80	1431	23012
81	1451	23032
82	1470	23027
83	1487	23010
84	1508	23036
85	1528	23058
86	1548	23061
87	1569	23098
88	1586	23073
89	1608	23109
90	1628	23127
91	1646	23108
92	1666	23112
93	1684	23102
94	1703	23097
95	1721	23079
96	1739	23068
97	1758	23059
98	1779	23082
99	1799	23090
100	1819	23097
101	1837	23074
102	1857	23087
103	1879	23108
104	1902	23151
105	1924	23181
106	1946	23210
107	1967	23221
108	1987	23233
109	2007	23229
110	2029	23257
111	2052	23292
112	2072	23297
113	2083	23192
114	2103	23194
115	2126	23226
116	2148	23246
117	2170	23263
118	2177	23123
119	2200	23155
120	2227	23229
121	2248	23236
122	2270	23258
123	2282	23177
124	2300	23155
125	2305	22996
126	2322	22966
127	2342	22967
128	2362	22968
129	2382	22963
130	2402	22963
131	2422	22956
132	2442	22953
133	2465	22978
134	2484	22968
135	2509	23010
136	2513	22859
137	2533	22857
138	2554	22859
139	2561	22745
140	2584	22762
141	2604	22761
142	2630	22807
143	2655	22845
144	2671	22810
145	2694	22829
146	2715	22828
147	2722	22715
148	2745	22739
149	2751	22618
150	2774	22633
151	2795	22641
152	2817	22650
153	2827	22568
154	2832	22439
155	2858	22483
156	2868	22398
157	2899	22476
158	2937	22610
159	2961	22640
160	2991	22707
161	3013	22711
162	3033	22702
163	3053	22694
164	3071	22675
165	3094	22690
166	3115	22683
167	3136	22684
168	3158	22690
169	3176	22662
170	3199	22675
171	3222	22690
172	3228	22579
173	3249	22578
174	3268	22562
175	3289	22556
176	3306	22529
177	3328	22530
178	3347	22519
179	3367	22507
180	3390	22516
181	3412	22520
182	3426	22469
183	3447	22462
184	3465	22444
185	3486	22435
186	3509	22448
187	3529	22433
188	3548	22418
189	3567	22399
190	3589	22403
191	3613	22416
192	3641	22454
193	3663	22451
194	3675	22392
195	3697	22394
196	3716	22373
197	3725	22295
198	3745	22287
199	3767	22282
200	3774	22194
201	3792	22174
202	3811	22157
203	3832	22149
204	3854	22149
205	3878	22158
206	3903	22178
207	3911	22094
208	3933	22094
209	3954	22091
210	3973	22073
211	3996	22073
212	4020	22082
213	4040	22071
214	4071	22116
215	4098	22140
216	4103	22049
217	4127	22058
218	4151	22064
219	4177	22084
220	4198	22073
221	4221	22075
222	4243	22072
223	4266	22072
224	4287	22064
225	4311	22071
226	4332	22064
227	4352	22050
228	4357	21959
229	4377	21944
230	4398	21935
231	4420	21932
232	4443	21932
233	4463	21915
234	4481	21893
235	4500	21870
236	4518	21851
237	4537	21829
238	4558	21818
239	4578	21805
240	4600	21799
241	4605	21712
242	4625	21698
243	4641	21665
244	4659	21641
245	4675	21612
246	4695	21596
247	4718	21592
248	4743	21602
249	4767	21604
250	4788	21596
251	4810	21588
