iter	Accuracy	Logloss
0	0.7715	0.6927214383
1	0.776	0.692320574
2	0.7755	0.6919461236
3	0.77875	0.6915191506
4	0.77825	0.6911274527
5	0.77275	0.6907797726
6	0.77675	0.6903868737
7	0.77575	0.6899696463
8	0.7755	0.6895957267
9	0.7735	0.6892642387
10	0.77525	0.6888345738
11	0.77525	0.6884325838
12	0.7745	0.6880571778
13	0.77375	0.687635709
14	0.7735	0.6872548674
15	0.774	0.68678721
16	0.77525	0.6864361975
17	0.7755	0.6860242491
18	0.776	0.6856460834
19	0.77625	0.6852338304
20	0.7765	0.68480929
21	0.776	0.6844703953
22	0.77525	0.6840770335
23	0.77525	0.6836723759
24	0.77525	0.6832848661
25	0.77575	0.6829175335
26	0.7765	0.6825233014
27	0.7765	0.6821569076
28	0.776	0.6817179694
29	0.77675	0.6813573474
30	0.776	0.6810197163
31	0.7755	0.6806402162
32	0.77675	0.680219902
33	0.77675	0.679751933
34	0.77675	0.6793717302
35	0.77675	0.6789796346
36	0.77675	0.6785548087
37	0.777	0.6782274635
38	0.77675	0.6778503234
39	0.77675	0.6774860733
40	0.77675	0.6771608032
41	0.77675	0.6767527188
42	0.77675	0.6763739218
43	0.77675	0.6760182173
44	0.7765	0.6756396174
45	0.7765	0.6752882548
46	0.777	0.6748632112
47	0.77725	0.6744909736
48	0.77725	0.674140105
49	0.77625	0.6737963827
50	0.77675	0.6734547084
51	0.77625	0.6730949156
52	0.777	0.6726942512
53	0.77675	0.6723316404
54	0.7765	0.671934393
55	0.777	0.671594099
56	0.77725	0.6712223131
57	0.77675	0.6708469332
58	0.777	0.6704749565
59	0.777	0.6701775736
60	0.77675	0.6698661929
61	0.777	0.6695022209
62	0.77675	0.669119071
63	0.77725	0.6687314603
64	0.7775	0.6683973884
65	0.77775	0.6680426851
66	0.777	0.667674631
67	0.77675	0.6673338345
68	0.77675	0.6670279062
69	0.77625	0.6667156188
70	0.776	0.6663845228
71	0.7755	0.6659905137
72	0.7755	0.6656306554
73	0.7755	0.665253246
74	0.77575	0.6649461898
75	0.7755	0.6646435913
76	0.7755	0.6642059344
