iter	Passed	Remaining
0	69	69676
1	92	46183
2	98	32881
3	114	28478
4	121	24079
5	129	21485
6	139	19799
7	156	19367
8	165	18239
9	170	16921
10	186	16754
11	202	16693
12	219	16688
13	238	16811
14	254	16718
15	272	16757
16	290	16808
17	308	16804
18	325	16818
19	341	16730
20	353	16500
21	358	15934
22	377	16056
23	397	16159
24	413	16139
25	422	15829
26	438	15817
27	445	15461
28	464	15548
29	476	15421
30	485	15179
31	506	15313
32	523	15344
33	543	15430
34	560	15464
35	578	15497
36	595	15499
37	601	15224
38	618	15249
39	637	15291
40	642	15033
41	659	15038
42	669	14897
43	684	14867
44	693	14719
45	700	14523
46	714	14490
47	722	14323
48	728	14138
49	735	13965
50	745	13881
51	750	13686
52	767	13709
53	785	13761
54	801	13766
55	808	13626
56	825	13650
57	836	13579
58	843	13452
59	848	13300
60	853	13136
61	866	13102
62	883	13135
63	898	13147
64	916	13190
65	927	13125
66	944	13154
67	960	13168
68	966	13036
69	972	12917
70	986	12909
71	994	12818
72	1003	12740
73	1018	12750
74	1035	12766
75	1042	12670
76	1055	12654
